

2_g_psl	0.35	0.883	317.0	42.0
2_g_bf	0.35	0.8044	436.0	106.0
2_g_mln	0.35	0.8639	311.0	49.0
3_g_psl	0.35	0.9395	295.0	19.0
3_g_bf	0.35	0.8004	397.0	99.0
3_g_mln	0.35	0.844	357.0	66.0
4_g_psl	0.35	0.9128	356.0	34.0
4_g_bf	0.35	0.8528	336.0	58.0
4_g_mln	0.35	0.8252	373.0	79.0




2_nyt_mln	0.0	0.6727	0.1689	0.2701
3_nyt_mln	0.04	0.6667	0.1005	0.1746
4_nyt_mln	0.0	0.6757	0.1142	0.1953
2_nyt_mln	0.32	0.4458	0.4886	0.4662
3_nyt_mln	0.33	0.4868	0.4201	0.451
4_nyt_mln	0.37	0.5176	0.4018	0.4524
2_kbp_bf	0.34	0.434	0.4726	0.4525
3_kbp_bf	0.32	0.4529	0.5103	0.4799
4_kbp_bf	0.32	0.4503	0.4966	0.4723


1_kbp_fb	0.0	0.4526	0.8774	0.5971
1_nyt_fb	0.0	0.2179	0.9574	0.355
1_kbp_fb	0.0	0.4526	0.8774	0.5971
1_nyt_fb	0.0	0.2179	0.9574	0.355

2_kbp_psl	0.33	0.5634	0.6541	0.6054
2_kbp_bf	0.34	0.434	0.4726	0.4525
2_kbp_mln	0.33	0.5897	0.5856	0.5876
3_kbp_psl	0.26	0.5422	0.6815	0.6039
3_kbp_bf	0.32	0.4529	0.5103	0.4799
3_kbp_mln	0.3	0.5662	0.6301	0.5964
4_kbp_psl	0.29	0.5332	0.6884	0.6009
4_kbp_bf	0.32	0.4503	0.4966	0.4723
4_kbp_mln	0.41	0.6395	0.5651	0.6

2_nyt_psl	0.37	0.4089	0.5023	0.4508
2_nyt_bf	0.38	0.5028	0.411	0.4523
2_nyt_mln	0.32	0.4458	0.4886	0.4662
3_nyt_psl	0.49	0.5322	0.4155	0.4667
3_nyt_bf	0.37	0.4745	0.4247	0.4482
3_nyt_mln	0.33	0.4868	0.4201	0.451
4_nyt_psl	0.47	0.5444	0.4201	0.4742
4_nyt_bf	0.43	0.521	0.3973	0.4508
4_nyt_mln	0.37	0.5176	0.4018	0.4524

1_g_fb	0.0	0.7397	0.7606	0.75
2_g_psl	0.1	0.841	0.8077	0.824
2_g_mln	0.0	0.812	0.8209	0.8164
2_g_bf	0.0	0.843	0.8791	0.8607

3_g_psl	0.0	0.8284	0.8275	0.8279
3_g_mln	0.0	0.8154	0.8154	0.8154
3_g_bf	0.12	0.8709	0.8077	0.8381

4_g_psl	0.0	0.833	0.811	0.8218
4_g_mln	0.0	0.8093	0.8253	0.8172
4_g_bf	0.0	0.7413	0.9329	0.8261

2_g_psl	0.16	0.8497	0.9351	0.8904
2_g_bf	0.0	0.8561	0.8767	0.8663
2_g_mln	0.22	0.9137	0.6368	0.7505
3_g_psl	0.2	0.8483	0.9417	0.8926
3_g_bf	0.0	0.8894	0.6867	0.775
3_g_mln	0.0	0.8862	0.7023	0.7836
4_g_psl	0.0	0.8872	0.8701	0.8786
4_g_bf	0.27	0.8351	0.9164	0.8739
4_g_mln	0.16	0.8716	0.7793	0.8229


1_g_fb	0.1	0.8259	0.9182	0.8696
